Vth_T ,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
53,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,1,2,0,0
291,1,1,0,1,1,0,0,1,0,0
292,2,1,0,0,0,0,2,0,1,2
293,0,0,1,1,2,0,1,0,2,2
294,3,1,0,0,1,0,1,0,0,3
295,0,3,0,1,1,4,2,1,4,0
296,2,2,2,1,0,0,3,2,2,2
297,4,1,3,2,4,3,3,5,2,1
298,3,2,3,2,5,0,1,6,4,3
299,1,6,7,5,2,8,3,0,8,3
300,5,2,5,1,6,8,8,3,4,4
301,5,1,5,6,6,7,0,11,7,8
302,7,5,5,6,6,8,11,10,4,8
303,7,7,10,9,7,9,13,4,7,10
304,10,14,10,4,11,10,7,9,11,6
305,9,12,15,7,16,15,11,17,3,10
306,17,11,14,17,15,17,16,16,14,13
307,16,28,10,18,12,14,23,28,12,14
308,24,19,26,21,20,21,21,25,19,24
309,27,21,28,21,15,23,20,31,24,33
310,25,31,18,46,35,32,35,43,29,14
311,55,40,49,40,40,36,25,49,44,36
312,44,41,40,38,40,41,43,42,38,34
313,49,54,45,60,52,41,30,41,53,55
314,46,42,52,45,63,58,58,68,62,57
315,59,70,52,55,46,54,60,49,61,49
316,67,69,73,69,64,76,59,53,65,67
317,65,72,54,80,59,72,86,63,48,76
318,87,83,77,66,70,65,76,83,64,67
319,81,102,70,77,68,79,75,92,86,99
320,91,88,107,104,110,106,107,91,103,102
321,121,116,125,121,109,104,130,117,102,138
322,124,130,143,157,113,119,134,149,122,118
323,147,154,146,152,153,132,135,144,146,130
324,151,148,172,149,156,157,160,167,149,163
325,147,176,167,165,130,170,162,155,187,175
326,171,203,161,166,197,184,175,187,182,181
327,175,174,211,203,191,191,162,186,187,193
328,220,196,203,227,203,205,199,204,220,200
329,223,236,213,229,221,214,245,218,206,219
330,264,236,256,259,240,267,264,239,270,255
331,256,264,246,268,284,298,263,274,309,285
332,293,310,308,301,291,285,293,276,315,265
333,352,354,298,335,369,312,352,289,347,341
334,382,358,350,342,357,358,358,365,340,340
335,376,379,405,411,427,402,368,367,386,400
336,467,455,421,390,470,427,443,389,448,437
337,558,507,526,512,540,542,505,512,562,507
338,640,606,613,604,529,620,608,550,567,639
339,690,627,668,808,699,724,768,671,681,645
340,848,862,763,827,877,799,907,794,809,834
341,1055,930,1091,1028,1026,961,875,995,997,1004
342,1250,1272,1147,1244,1147,1148,1187,1294,1225,1168
343,1505,1177,1359,1465,1480,1551,1433,1483,1669,1390
344,1851,1857,1855,1680,1678,1523,1639,1802,1702,1694
345,2219,1916,2221,2303,2252,2176,2006,1848,2136,1832
346,2415,2608,2811,2358,2342,2686,2784,2986,2890,2797
347,3307,3947,2934,3405,3487,3540,3167,3390,3314,3266
348,4414,3906,4318,4430,3881,4014,3742,4063,4413,4153
349,4919,5206,5147,4835,4757,4987,4692,5387,4381,4350
350,5746,5238,5878,5801,5302,5606,5968,5642,5906,4942
351,6186,6587,6281,6337,5849,5790,6341,6060,5240,5427
352,6926,6949,6590,6557,6630,6952,6196,7551,7461,7472
353,7280,8033,7432,7525,7571,6982,7330,8036,7731,7575
354,8155,7884,8058,7652,8039,8506,7232,7804,8132,7450
355,8373,8173,8529,7837,8211,8019,9335,8506,8540,8324
356,8467,8966,8927,8765,8186,8871,8920,8701,8634,8613
357,9517,9871,8975,9096,9400,9221,9136,9560,9594,9648
358,11161,10117,10058,10783,10024,10161,9896,10335,10750,10059
359,10804,10721,11555,10697,10859,10790,11036,10059,10329,10308
360,11659,10833,11666,11327,11245,11579,11639,11721,11235,11033
361,12022,11699,11761,12243,11796,12111,12092,11547,12036,11455
362,12653,12030,12189,12775,12819,13071,12932,13072,12792,12614
363,13381,12663,13245,12872,13111,12842,13046,12538,13161,13129
364,13544,13212,13355,13352,13518,13482,13393,13152,13446,13281
365,13661,14099,13748,13885,13772,13778,13664,13828,13418,13838
366,13964,14183,14002,14156,14269,14105,14266,14506,13904,14018
367,14693,14353,14290,14196,14316,14270,14450,14537,14420,13993
368,14377,14683,14398,14498,14800,14578,14866,14671,14550,14368
369,14379,14519,14757,14791,14943,14865,14849,14774,14371,14292
370,14933,15007,14928,15022,14536,14749,14910,14913,14822,15129
371,15030,14907,14879,15246,15083,14973,15058,15351,14977,15419
372,15274,15338,15143,14958,15104,14842,14924,15256,15211,15130
373,15242,15509,15002,14962,15181,15086,15082,15022,15026,15257
374,14975,15188,14983,15208,15241,15588,15361,15515,15410,15018
375,15229,15395,15224,15270,15426,15431,15434,15202,15343,15322
376,15232,15634,15540,15205,15397,15178,15314,15149,15462,15091
377,15408,15229,15353,15201,15408,15288,15378,15658,15422,15237
378,15436,15492,15230,15584,15137,15343,15434,15356,15183,15379
379,15368,15456,15336,15823,15549,15551,15670,15430,15413,15432
380,15332,15444,15371,15574,15610,15751,15446,15246,15401,15414
381,15602,15743,15393,15495,15371,15458,15460,15700,15510,15529
382,15827,15588,15511,15589,15529,15616,15581,15622,15690,15449
383,15687,15500,15800,15766,15436,15903,15941,15536,15680,15581
384,15814,16093,15917,15781,15929,15937,15810,15577,16044,15851
385,15885,15948,15857,15666,15765,15916,15914,15893,15667,15969
386,16212,16365,16098,16037,16300,16233,16309,16334,16489,15918
387,16631,16558,16265,16538,16167,16788,16941,16569,16471,16651
388,17180,16587,16744,16804,16952,16982,16950,16766,17021,16816
389,17131,17256,17130,16854,17019,16877,17206,17179,17159,17023
390,17637,17293,17256,17407,17532,17365,17828,17429,17403,17246
391,17883,17911,17745,17893,18086,17888,17837,17756,18041,17677
392,18133,18012,17907,17777,18196,17995,18335,18036,18179,18060
393,18566,18424,18414,18300,18332,18361,18221,18441,18581,18659
394,18958,19029,18878,19083,18923,19016,19165,19013,19200,18868
395,19485,19112,19348,19409,19224,19291,19375,19327,19344,19424
396,19589,19711,19628,19605,19569,19671,19466,19618,19727,19682
397,20067,19940,19930,20077,19805,20086,19811,20111,20073,20180
398,20238,20432,20129,20395,20212,20295,20292,20219,20253,20118
399,20560,20478,20604,20394,20452,20360,20384,20546,20580,20453
400,20687,20648,20512,20694,20702,20770,20747,20599,20690,20705
401,20837,20869,21005,20977,20724,20902,20772,20969,20887,20783
402,21119,21154,21045,20821,21073,20966,21019,21176,21052,20972
403,21175,21178,21164,21136,21107,21255,21013,21206,21148,21119
404,21116,21199,21010,21501,21019,21198,21234,21249,21174,21042
405,21159,21257,21280,21222,21234,21184,21247,21299,21189,21097
406,21158,21227,21196,21223,21298,21371,21203,21098,21112,21453
407,21260,21153,21134,21210,21303,21231,21352,21247,21263,21235
408,21390,21277,21351,21129,21179,21115,21316,21255,21200,21244
409,21217,21404,21346,21495,21484,21295,21347,21259,21295,21565
410,21653,21644,21652,21765,21670,21665,21714,21703,21724,21763
411,22340,22050,22198,22066,21877,22086,22193,22047,22044,22007
412,22637,22422,22577,22398,22594,22344,22324,22505,22385,22406
413,22943,22837,22951,22963,22910,22885,22891,22941,22916,22914
414,23615,23618,23457,23563,23508,23669,23528,23608,23615,23526
415,24224,24173,24345,24193,24178,24098,24165,24245,24113,24127
416,25502,25549,25379,25295,25397,25341,25246,25458,25507,25345
417,26280,26190,26275,26110,26342,26120,26113,26162,26202,26320
418,27179,27012,27090,26974,26955,27148,27171,27137,27162,27087
419,28021,27863,27988,28078,27981,27918,27901,27957,27899,27892
420,28779,28651,28632,28632,28621,28624,28630,28645,28602,28695
421,29385,29427,29513,29427,29382,29415,29429,29349,29295,29348
422,30214,30129,30195,30176,30208,30058,30071,30149,30223,30112
423,30812,30783,30747,30790,30759,30766,30813,30775,30725,30699
424,31222,31193,31148,31136,31171,31231,31201,31126,31104,31192
425,31656,31563,31591,31625,31613,31576,31667,31612,31642,31618
426,31939,31927,31942,31924,31908,31901,31909,31891,31950,31910
427,32237,32165,32149,32123,32159,32139,32158,32144,32153,32167
428,32347,32325,32329,32368,32337,32331,32342,32317,32315,32298
429,32473,32476,32481,32475,32462,32444,32513,32462,32461,32474
430,32603,32566,32576,32580,32596,32591,32597,32594,32552,32594
431,32657,32653,32654,32661,32651,32644,32648,32652,32652,32655
432,32701,32699,32687,32705,32685,32695,32695,32700,32704,32709
433,32720,32714,32723,32731,32724,32717,32724,32715,32733,32712
434,32744,32744,32749,32736,32728,32744,32740,32750,32738,32743
435,32760,32757,32750,32754,32754,32758,32752,32756,32742,32753
436,32759,32760,32757,32763,32758,32757,32757,32756,32759,32761
437,32761,32757,32762,32759,32764,32762,32761,32759,32762,32764
438,32766,32766,32766,32763,32764,32765,32765,32766,32766,32766
439,32766,32766,32766,32767,32766,32766,32766,32767,32766,32767
440,32767,32767,32766,32767,32767,32767,32767,32767,32767,32767
441,32767,32767,32767,32767,32766,32767,32767,32767,32767,32767
442,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
443,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
444,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
445,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
446,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
447,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
448,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
449,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
450,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
451,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
452,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
453,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
454,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
455,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
456,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
457,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
458,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
459,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
460,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
461,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
462,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
463,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
464,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
465,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
466,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
467,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
468,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
469,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
470,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
471,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
472,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
473,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
474,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
475,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
476,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
477,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
478,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
479,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
480,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
481,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
482,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
483,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
484,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
485,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
486,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
487,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
488,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
489,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
490,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
491,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
492,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
493,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
494,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
495,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
496,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
497,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
498,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
499,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
500,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
501,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
502,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
503,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
504,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
505,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
506,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
507,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
508,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
509,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
510,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
511,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
512,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
513,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
514,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
515,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
516,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
517,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
518,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
519,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
520,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
521,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
522,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
523,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
524,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
525,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
526,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
527,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
528,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
529,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
530,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
531,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
532,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
533,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
534,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
535,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
536,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
537,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
538,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
539,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
540,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
